tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-05-01,55,26,21,83,10,83,O3,SEDANG,DKI5
2020-05-02,36,22,12,80,9,80,O3,SEDANG,DKI5
2020-05-03,65,34,35,49,11,65,PM10,SEDANG,DKI5
2020-05-04,53,21,14,75,8,75,O3,SEDANG,DKI5
2020-05-05,53,22,18,73,9,73,O3,SEDANG,DKI5
2020-05-06,52,22,14,63,7,63,O3,SEDANG,DKI5
2020-05-07,67,24,18,69,9,69,O3,SEDANG,DKI5
2020-05-08,91,22,18,120,10,120,O3,TIDAK SEHAT,DKI5
2020-05-09,77,22,22,75,12,77,PM10,SEDANG,DKI4
2020-05-10,72,23,27,81,15,81,O3,SEDANG,DKI5
2020-05-11,54,24,18,83,8,83,O3,SEDANG,DKI5
2020-05-12,57,23,20,81,10,81,O3,SEDANG,DKI5
2020-05-13,55,22,17,79,8,79,O3,SEDANG,DKI5
2020-05-14,61,23,17,64,12,64,O3,SEDANG,DKI3
2020-05-15,66,23,18,62,9,66,PM10,SEDANG,DKI2
2020-05-16,65,23,17,77,8,77,O3,SEDANG,DKI5
2020-05-17,74,23,18,122,9,122,O3,TIDAK SEHAT,DKI5
2020-05-18,62,21,15,79,10,79,O3,SEDANG,DKI5
2020-05-19,42,23,15,119,13,119,O3,TIDAK SEHAT,DKI5
2020-05-20,61,23,14,73,9,73,O3,SEDANG,DKI4
2020-05-21,33,23,14,79,12,79,O3,SEDANG,DKI2
2020-05-22,70,22,16,88,17,88,O3,SEDANG,DKI5
2020-05-23,42,22,15,87,8,87,O3,SEDANG,DKI5
2020-05-24,62,21,26,65,11,65,O3,SEDANG,DKI2
2020-05-25,50,25,15,44,9,50,PM10,BAIK,DKI4
2020-05-26,52,42,18,45,8,52,PM10,SEDANG,DKI4
2020-05-27,37,22,12,76,10,76,O3,SEDANG,DKI2
2020-05-28,64,35,16,136,16,136,O3,TIDAK SEHAT,DKI5
2020-05-29,62,27,16,134,12,134,O3,TIDAK SEHAT,DKI5
2020-05-30,63,38,36,73,11,73,O3,SEDANG,DKI5
2020-05-31,54,32,28,66,9,66,O3,SEDANG,DKI5
