tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-06-01,61,23,22,69,10,69,O3,SEDANG,DKI5
2020-06-02,50,22,20,57,8,57,O3,SEDANG,DKI5
2020-06-03,47,21,14,48,11,48,O3,BAIK,DKI5
2020-06-04,56,31,18,41,11,56,PM10,SEDANG,DKI3
2020-06-05,62,24,17,96,12,96,O3,SEDANG,DKI5
2020-06-06,69,24,16,98,14,98,O3,SEDANG,DKI5
2020-06-07,66,26,19,96,15,96,O3,SEDANG,DKI3
2020-06-08,72,23,23,56,12,72,PM10,SEDANG,DKI4
2020-06-09,81,24,38,61,13,81,PM10,SEDANG,DKI4
2020-06-10,67,21,24,61,14,67,PM10,SEDANG,DKI1
2020-06-11,63,24,17,79,10,79,O3,SEDANG,DKI5
2020-06-12,55,22,14,97,13,97,O3,SEDANG,DKI5
2020-06-13,68,24,14,99,12,99,O3,SEDANG,DKI5
2020-06-14,64,30,17,97,12,97,O3,SEDANG,DKI5
2020-06-15,76,23,18,95,13,95,O3,SEDANG,DKI5
2020-06-16,74,24,24,59,11,74,PM10,SEDANG,DKI4
2020-06-17,74,23,20,73,12,74,PM10,SEDANG,DKI2
2020-06-18,67,24,20,79,9,79,O3,SEDANG,DKI5
2020-06-19,57,22,14,75,11,75,O3,SEDANG,DKI5
2020-06-20,73,23,20,92,17,92,O3,SEDANG,DKI5
2020-06-21,67,22,17,90,10,90,O3,SEDANG,DKI5
2020-06-22,71,25,19,69,11,71,PM10,SEDANG,DKI3
2020-06-23,58,22,21,70,15,70,O3,SEDANG,DKI2
2020-06-24,58,22,16,124,19,124,O3,TIDAK SEHAT,DKI2
2020-06-25,80,25,53,85,23,85,O3,SEDANG,DKI5
2020-06-26,78,24,23,97,19,97,O3,SEDANG,DKI5
2020-06-27,75,25,18,69,14,75,PM10,SEDANG,DKI2
2020-06-28,80,25,16,81,11,81,O3,SEDANG,DKI3
2020-06-29,78,24,15,90,15,90,O3,SEDANG,DKI5
2020-06-30,79,24,18,86,15,86,O3,SEDANG,DKI5
