tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-04-01,51,25,35,129,10,129,O3,TIDAK SEHAT,DKI5
2020-04-02,55,25,22,57,7,57,O3,SEDANG,DKI2
2020-04-03,55,27,22,62,6,62,O3,SEDANG,DKI2
2020-04-04,66,28,25,83,7,83,O3,SEDANG,DKI2
2020-04-05,66,28,19,103,8,103,O3,TIDAK SEHAT,DKI5
2020-04-06,56,26,29,73,9,73,O3,SEDANG,DKI5
2020-04-07,42,25,23,56,9,56,O3,SEDANG,DKI5
2020-04-08,33,26,13,69,7,69,O3,SEDANG,DKI5
2020-04-09,59,28,19,73,10,73,O3,SEDANG,DKI5
2020-04-10,65,27,26,132,12,132,O3,TIDAK SEHAT,DKI5
2020-04-11,109,27,18,135,6,135,O3,TIDAK SEHAT,DKI5
2020-04-12,82,27,31,136,13,136,O3,TIDAK SEHAT,DKI5
2020-04-13,52,26,17,86,9,86,O3,SEDANG,DKI5
2020-04-14,54,28,22,109,10,109,O3,TIDAK SEHAT,DKI5
2020-04-15,57,27,19,109,11,109,O3,TIDAK SEHAT,DKI5
2020-04-16,60,27,17,87,13,87,O3,SEDANG,DKI5
2020-04-17,60,27,19,92,11,92,O3,SEDANG,DKI3
2020-04-18,53,28,15,100,10,100,O3,SEDANG,DKI5
2020-04-19,73,29,20,147,14,147,O3,TIDAK SEHAT,DKI5
2020-04-20,78,28,20,116,9,116,O3,TIDAK SEHAT,DKI5
2020-04-21,69,28,17,59,10,69,PM10,SEDANG,DKI4
2020-04-22,111,31,26,75,11,111,PM10,TIDAK SEHAT,DKI4
2020-04-23,66,27,17,88,9,88,O3,SEDANG,DKI5
2020-04-24,71,27,22,70,8,71,PM10,SEDANG,DKI4
2020-04-25,64,26,29,77,9,77,O3,SEDANG,DKI5
2020-04-26,75,26,23,101,10,101,O3,TIDAK SEHAT,DKI5
2020-04-27,51,25,18,131,8,131,O3,TIDAK SEHAT,DKI5
2020-04-28,59,20,22,82,13,82,O3,SEDANG,DKI5
2020-04-29,67,25,19,85,11,85,O3,SEDANG,DKI5
2020-04-30,80,22,37,77,17,76,PM10,SEDANG,DKI4
