tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2020-08-01,69,22,16,134,14,134,O3,TIDAK SEHAT,DKI5
2020-08-02,91,27,26,102,16,102,O3,TIDAK SEHAT,DKI2
2020-08-03,95,26,19,90,16,95,PM10,SEDANG,DKI4
2020-08-04,73,27,12,91,12,91,O3,SEDANG,DKI5
2020-08-05,86,26,15,84,15,86,PM10,SEDANG,DKI4
2020-08-06,88,27,21,108,16,108,O3,TIDAK SEHAT,DKI5
2020-08-07,81,26,18,119,14,119,O3,TIDAK SEHAT,DKI5
2020-08-08,79,28,17,79,14,79,PM10,SEDANG,DKI4
2020-08-09,74,25,17,82,12,82,O3,SEDANG,DKI5
2020-08-10,81,25,19,76,12,81,PM10,SEDANG,DKI4
2020-08-11,96,26,19,78,12,96,PM10,SEDANG,DKI4
2020-08-12,93,25,37,68,18,93,PM10,SEDANG,DKI4
2020-08-13,81,24,19,58,13,81,PM10,SEDANG,DKI4
2020-08-14,41,21,21,68,17,68,O3,SEDANG,DKI5
2020-08-15,58,23,24,59,14,59,O3,SEDANG,DKI5
2020-08-16,52,24,20,68,10,68,O3,SEDANG,DKI3
2020-08-17,56,22,17,67,10,67,O3,SEDANG,DKI5
2020-08-18,75,25,19,99,14,99,O3,SEDANG,DKI5
2020-08-19,80,33,29,82,18,82,O3,SEDANG,DKI3
2020-08-20,62,30,18,64,13,64,O3,SEDANG,DKI3
2020-08-21,71,32,10,58,10,71,PM10,SEDANG,DKI4
2020-08-22,84,31,20,63,16,84,PM10,SEDANG,DKI4
2020-08-23,72,33,27,88,14,88,O3,SEDANG,DKI5
2020-08-24,79,31,17,68,14,79,PM10,SEDANG,DKI4
2020-08-25,74,33,13,75,17,75,O3,SEDANG,DKI5
2020-08-26,63,31,9,100,11,100,O3,SEDANG,DKI5
2020-08-27,57,31,10,80,11,80,O3,SEDANG,DKI5
2020-08-28,84,33,15,67,16,84,PM10,SEDANG,DKI4
2020-08-29,70,33,12,71,12,71,O3,SEDANG,DKI5
2020-08-30,74,33,15,79,10,79,O3,SEDANG,DKI5
2020-08-31,69,33,13,134,14,134,O3,TIDAK SEHAT,DKI5
