tanggal,pm10
2022-08-20,57.312096
2022-08-21,57.814144
2022-08-22,57.818207
2022-08-23,57.34079
2022-08-24,58.698704
2022-08-25,59.418648
2022-08-26,60.176098
2022-08-27,60.851643
2022-08-28,61.590775
2022-08-29,63.30796
2022-08-30,63.178783
2022-08-31,62.355434
2022-09-01,62.41933
2022-09-02,63.028492
2022-09-03,63.347496
2022-09-04,64.16273
2022-09-05,63.80819
2022-09-06,64.9855
